SpeciesG,Species,G,tau,kendall_sumReads,kendall_sumReads_nozeros,wilcox_PABD
Anbo_Elizabethkingia,Anbo,Elizabethkingia,-0.255437957663443,0.0202672008865703,0.0242850852301146,0.0844940253032627
Anbo_Flavobacterium,Anbo,Flavobacterium,0.0461256202980691,0.681876187458361,0.00761866354161874,0.547819560296715
Anma_Microbacterium,Anma,Microbacterium,0.50395263067897,0.00667430993620529,0.220671361919847,0.00464473394229251
Anma_Acinetobacter,Anma,Acinetobacter,0.304039141453052,0.0493906549881008,0.333333333333333,0.0412080784300037
Lica_Lysobacter,Lica,Lysobacter,0.342155563407099,0.0150032368004468,0.471169998490056,0.0209691805672544
Lica_Variovorax,Lica,Variovorax,0.332162676775525,0.0200810315497647,0.119844278858226,0.00980142651624279
Osse_Mitsuaria,Osse,Mitsuaria,-0.249358831577527,0.0512494541802117,0.220671361919847,0.0485364124256472
